"","dir.dyad","actor","receiver","aff","agg","sharing","grooming","s.sampling","g.sampling"
"1","c_dos","c","dos",659,0,0,130,54000,108000
"2","c_ivy","c","ivy",2161,0,0,7654,54000,108000
"3","c_tes","c","tes",0,0,0,105,54000,108000
"4","cat_ccc","cat","ccc",10,0,212,0,54000,108000
"5","cat_csc","cat","csc",0,0,NA,NA,NA,NA
"6","cat_dd","cat","dd",15,0,0,0,54000,108000
"7","cat_s","cat","s",0,0,0,6,54000,108000
"8","cat_ss","cat","ss",0,0,0,0,57600,111600
"9","ccc_cat","ccc","cat",28,0,0,54,54000,108000
"10","ccc_ivy","ccc","ivy",312,0,0,913,18000,72000
"11","ccs_dos","ccs","dos",32,0,0,0,54000,75600
"12","ccs_una","ccs","una",73,0,0,17,50400,104400
"13","csc_cat","csc","cat",58,0,NA,NA,NA,NA
"14","csc_six","csc","six",13,0,NA,NA,NA,NA
"15","csc_tes","csc","tes",9,0,NA,NA,NA,NA
"16","d_ola","d","ola",48,0,126,100,54000,75600
"17","dcd_eve","dcd","eve",564,0,0,49,54000,108000
"18","dcd_ivy","dcd","ivy",1195,0,0,0,54000,108000
"19","dcd_six","dcd","six",184,0,NA,NA,NA,NA
"20","dd_cat","dd","cat",74,0,25,123,54000,108000
"21","dd_eve","dd","eve",53,0,0,87,21600,75600
"22","dd_six","dd","six",14,0,NA,NA,NA,NA
"23","dos_c","dos","c",493,0,0,139,54000,108000
"24","dos_ccs","dos","ccs",0,0,0,0,21600,75600
"25","dos_sc","dos","sc",0,0,0,0,54000,108000
"26","dos_scc","dos","scc",66,0,NA,NA,NA,NA
"27","dos_sd","dos","sd",10,0,0,0,14400,32400
"28","dos_sss","dos","sss",423,0,0,0,54000,108000
"29","eve_dcd","eve","dcd",871,0,47,157,54000,108000
"30","eve_dd","eve","dd",210,16,0,55,54000,75600
"31","eve_hilga","eve","hilga",22,0,NA,NA,NA,NA
"32","eve_rc","eve","rc",382,0,0,280,54000,108000
"33","eve_scs","eve","scs",244,0,0,287,50400,104400
"34","hilga_eve","hilga","eve",0,0,NA,NA,NA,NA
"35","hilga_una","hilga","una",0,0,NA,NA,NA,NA
"36","ivy_c","ivy","c",1990,0,0,7295,54000,108000
"37","ivy_ccc","ivy","ccc",324,0,0,865,54000,72000
"38","ivy_dcd","ivy","dcd",778,0,0,0,54000,108000
"39","ola_d","ola","d",203,0,0,47,21600,75600
"40","rc_eve","rc","eve",147,0,0,144,54000,108000
"41","rc_una","rc","una",25,0,0,9,32400,86400
"42","s_cat","s","cat",0,0,0,6,54000,108000
"43","s_tes","s","tes",7,0,0,19,54000,108000
"44","sc_dos","sc","dos",0,0,0,11,54000,108000
"45","sc_una","sc","una",37,0,0,156,50400,64800
"46","scc_dos","scc","dos",205,0,NA,NA,NA,NA
"47","scc_tes","scc","tes",29,0,NA,NA,NA,NA
"48","scs_eve","scs","eve",105,0,0,309,54000,104400
"49","scs_una","scs","una",0,13,5,83,50400,75600
"50","sd_dos","sd","dos",28,0,0,0,18000,32400
"51","sd_tes","sd","tes",79,0,0,0,54000,104400
"52","six_csc","six","csc",27,0,NA,NA,NA,NA
"53","six_dcd","six","dcd",13,25,NA,NA,NA,NA
"54","six_dd","six","dd",35,0,NA,NA,NA,NA
"55","ss_cat","ss","cat",0,0,0,9,54000,111600
"56","ss_tes","ss","tes",0,0,0,19,36000,93600
"57","sss_dos","sss","dos",633,0,0,0,54000,108000
"58","sss_una","sss","una",19,0,0,85,18000,72000
"59","tes_c","tes","c",0,0,0,87,54000,108000
"60","tes_csc","tes","csc",0,0,NA,NA,NA,NA
"61","tes_s","tes","s",0,0,0,10,54000,108000
"62","tes_scc","tes","scc",32,0,NA,NA,NA,NA
"63","tes_sd","tes","sd",5,0,0,0,50400,104400
"64","tes_ss","tes","ss",0,0,0,0,57600,93600
"65","una_ccs","una","ccs",29,0,0,63,54000,104400
"66","una_hilga","una","hilga",38,0,NA,NA,NA,NA
"67","una_rc","una","rc",0,0,0,33,54000,86400
"68","una_sc","una","sc",61,0,0,110,14400,64800
"69","una_scs","una","scs",7,0,0,65,25200,75600
"70","una_sss","una","sss",21,0,0,31,54000,72000
