"","new.dyad","dyad","bat1","bat2","duration","obs.time","assoc","period"
"1","familiar","add_addld","add","addld",45,1200,0.0375277777777778,20
"2","familiar","add_addldd","add","addldd",310,1200,0.258444444444444,20
"3","familiar","add_adld","add","adld",136,1200,0.112958333333333,20
"4","familiar","add_adldd","add","adldd",45,1200,0.0375138888888889,20
"5","familiar","add_aldd","add","aldd",668,1200,0.556902777777778,20
"6","familiar","add_ax","add","ax",616,1200,0.513111111111111,20
"7","familiar","addld_addldd","addld","addldd",855,1200,0.712777777777778,20
"8","familiar","addld_adld","addld","adld",135,1200,0.112541666666667,20
"9","familiar","addld_adldd","addld","adldd",181,1200,0.150472222222222,20
"10","familiar","addld_aldd","addld","aldd",810,1200,0.675263888888889,20
"11","familiar","addld_ax","addld","ax",614,1200,0.511458333333333,20
"12","familiar","addldd_adld","addldd","adld",45,1200,0.0375138888888889,20
"13","familiar","addldd_adldd","addldd","adldd",90,1200,0.0750277777777778,20
"14","familiar","addldd_aldd","addldd","aldd",900,1200,0.750277777777778,20
"15","familiar","addldd_ax","addldd","ax",101,1200,0.0837916666666667,20
"16","familiar","adld_adldd","adld","adldd",250,1200,0.208430555555556,20
"17","familiar","adld_aldd","adld","aldd",193,1200,0.160486111111111,20
"18","familiar","adld_ax","adld","ax",270,1200,0.225083333333333,20
"19","familiar","adldd_aldd","adldd","aldd",270,1200,0.225083333333333,20
"20","familiar","adldd_ax","adldd","ax",184,1200,0.153402777777778,20
"21","familiar","aldd_ax","aldd","ax",767,1200,0.638986111111111,20
"22","familiar","bdlx_bey","bdlx","bey",90,1200,0.0750277777777778,20
"23","familiar","bdlx_blx","bdlx","blx",676,1200,0.563125,20
"24","familiar","bdlx_bs","bdlx","bs",136,1200,0.112958333333333,20
"25","familiar","bdlx_bxdlx","bdlx","bxdlx",45,1200,0.0375138888888889,20
"26","familiar","bey_blx","bey","blx",45,1200,0.0375138888888889,20
"27","familiar","bey_bs","bey","bs",450,1200,0.375138888888889,20
"28","familiar","bey_bxdlx","bey","bxdlx",270,1200,0.225083333333333,20
"29","familiar","bey_bxx","bey","bxx",630,1200,0.525194444444444,20
"30","familiar","blx_bs","blx","bs",15,1200,0.0120972222222222,20
"31","familiar","bs_bxdlx","bs","bxdlx",225,1200,0.187569444444444,20
"32","familiar","bs_bxx","bs","bxx",405,1200,0.337625,20
"33","familiar","bxdlx_bxx","bxdlx","bxx",630,1200,0.525194444444444,20
"34","familiar","cdw_cfd","cdw","cfd",225,1200,0.187569444444444,20
"35","familiar","cdw_cldw","cdw","cldw",135,1200,0.112541666666667,20
"36","familiar","cdw_clw","cdw","clw",315,1200,0.262597222222222,20
"37","familiar","cdw_cnone","cdw","cnone",321,1200,0.267194444444444,20
"38","familiar","cdw_cwd","cdw","cwd",318,1200,0.264694444444444,20
"39","familiar","cdw_cww","cdw","cww",586,1200,0.488097222222222,20
"40","familiar","cfd_cldw","cfd","cldw",181,1200,0.150472222222222,20
"41","familiar","cfd_clw","cfd","clw",160,1200,0.133388888888889,20
"42","familiar","cfd_cnone","cfd","cnone",308,1200,0.256763888888889,20
"43","familiar","cfd_cwd","cfd","cwd",185,1200,0.154236111111111,20
"44","familiar","cfd_cww","cfd","cww",326,1200,0.271361111111111,20
"45","familiar","cldw_clw","cldw","clw",180,1200,0.150055555555556,20
"46","familiar","cldw_cnone","cldw","cnone",575,1200,0.479347222222222,20
"47","familiar","cldw_cwd","cldw","cwd",225,1200,0.187569444444444,20
"48","familiar","cldw_cww","cldw","cww",617,1200,0.514361111111111,20
"49","familiar","clw_cnone","clw","cnone",225,1200,0.187569444444444,20
"50","familiar","clw_cwd","clw","cwd",225,1200,0.187569444444444,20
"51","familiar","clw_cww","clw","cww",675,1200,0.562708333333333,20
"52","familiar","cnone_cwd","cnone","cwd",470,1200,0.391819444444444,20
"53","familiar","cnone_cww","cnone","cww",405,1200,0.337625,20
"54","familiar","cwd_cww","cwd","cww",496,1200,0.413069444444444,20
"55","unfamiliar","add_bey","add","bey",45,1200,0.0375138888888889,20
"56","unfamiliar","add_bxdlx","add","bxdlx",45,1200,0.0375138888888889,20
"57","unfamiliar","add_cdw","add","cdw",315,1200,0.262597222222222,20
"58","unfamiliar","add_cfd","add","cfd",19,1200,0.0154305555555556,20
"59","unfamiliar","add_cldw","add","cldw",90,1200,0.0750277777777778,20
"60","unfamiliar","add_clw","add","clw",45,1200,0.0375138888888889,20
"61","unfamiliar","addld_bdlx","addld","bdlx",215,1200,0.178819444444444,20
"62","unfamiliar","addld_bey","addld","bey",180,1200,0.150055555555556,20
"63","unfamiliar","addld_bs","addld","bs",45,1200,0.0375138888888889,20
"64","unfamiliar","addld_cdw","addld","cdw",316,1200,0.263013888888889,20
"65","unfamiliar","addld_cldw","addld","cldw",45,1200,0.0375138888888889,20
"66","unfamiliar","addld_clw","addld","clw",45,1200,0.0375138888888889,20
"67","unfamiliar","addld_cwd","addld","cwd",141,1200,0.117138888888889,20
"68","unfamiliar","addld_cww","addld","cww",90,1200,0.0750277777777778,20
"69","unfamiliar","addldd_bdlx","addldd","bdlx",90,1200,0.0750277777777778,20
"70","unfamiliar","addldd_bs","addldd","bs",45,1200,0.0375138888888889,20
"71","unfamiliar","addldd_bxdlx","addldd","bxdlx",45,1200,0.0375138888888889,20
"72","unfamiliar","addldd_cdw","addldd","cdw",90,1200,0.0750277777777778,20
"73","unfamiliar","addldd_cldw","addldd","cldw",45,1200,0.0375138888888889,20
"74","unfamiliar","addldd_clw","addldd","clw",45,1200,0.0375138888888889,20
"75","unfamiliar","addldd_cwd","addldd","cwd",47,1200,0.0387638888888889,20
"76","unfamiliar","addldd_cww","addldd","cww",45,1200,0.0375138888888889,20
"77","unfamiliar","adld_bdlx","adld","bdlx",135,1200,0.112541666666667,20
"78","unfamiliar","adld_bs","adld","bs",405,1200,0.337625,20
"79","unfamiliar","adld_bxdlx","adld","bxdlx",128,1200,0.106708333333333,20
"80","unfamiliar","adld_cdw","adld","cdw",540,1200,0.450166666666667,20
"81","unfamiliar","adld_cldw","adld","cldw",191,1200,0.159236111111111,20
"82","unfamiliar","adld_clw","adld","clw",180,1200,0.150055555555556,20
"83","unfamiliar","adld_cnone","adld","cnone",180,1200,0.150055555555556,20
"84","unfamiliar","adld_cwd","adld","cwd",116,1200,0.0962916666666667,20
"85","unfamiliar","adld_cww","adld","cww",180,1200,0.150055555555556,20
"86","unfamiliar","adldd_bdlx","adldd","bdlx",329,1200,0.273861111111111,20
"87","unfamiliar","adldd_bey","adldd","bey",496,1200,0.413486111111111,20
"88","unfamiliar","adldd_blx","adldd","blx",45,1200,0.0375138888888889,20
"89","unfamiliar","adldd_bs","adldd","bs",271,1200,0.225513888888889,20
"90","unfamiliar","adldd_bxdlx","adldd","bxdlx",45,1200,0.0375138888888889,20
"91","unfamiliar","adldd_bxx","adldd","bxx",225,1200,0.187569444444444,20
"92","unfamiliar","adldd_cdw","adldd","cdw",87,1200,0.0725277777777778,20
"93","unfamiliar","adldd_cfd","adldd","cfd",90,1200,0.0750277777777778,20
"94","unfamiliar","adldd_cldw","adldd","cldw",45,1200,0.0375138888888889,20
"95","unfamiliar","adldd_cnone","adldd","cnone",45,1200,0.0375138888888889,20
"96","unfamiliar","adldd_cwd","adldd","cwd",450,1200,0.375138888888889,20
"97","unfamiliar","adldd_cww","adldd","cww",135,1200,0.112541666666667,20
"98","unfamiliar","aldd_bdlx","aldd","bdlx",112,1200,0.0929722222222222,20
"99","unfamiliar","aldd_bey","aldd","bey",361,1200,0.300527777777778,20
"100","unfamiliar","aldd_blx","aldd","blx",45,1200,0.0375138888888889,20
"101","unfamiliar","aldd_bs","aldd","bs",90,1200,0.0750277777777778,20
"102","unfamiliar","aldd_bxx","aldd","bxx",180,1200,0.150055555555556,20
"103","unfamiliar","aldd_cdw","aldd","cdw",495,1200,0.412652777777778,20
"104","unfamiliar","aldd_cfd","aldd","cfd",116,1200,0.0962916666666667,20
"105","unfamiliar","aldd_cldw","aldd","cldw",45,1200,0.0375138888888889,20
"106","unfamiliar","aldd_clw","aldd","clw",181,1200,0.150888888888889,20
"107","unfamiliar","aldd_cwd","aldd","cwd",90,1200,0.0750277777777778,20
"108","unfamiliar","aldd_cww","aldd","cww",271,1200,0.2255,20
"109","unfamiliar","ax_bdlx","ax","bdlx",282,1200,0.235097222222222,20
"110","unfamiliar","ax_bey","ax","bey",180,1200,0.150055555555556,20
"111","unfamiliar","ax_bs","ax","bs",45,1200,0.0375138888888889,20
"112","unfamiliar","ax_bxdlx","ax","bxdlx",81,1200,0.0675277777777778,20
"113","unfamiliar","ax_bxx","ax","bxx",45,1200,0.0375138888888889,20
"114","unfamiliar","ax_cdw","ax","cdw",135,1200,0.112541666666667,20
"115","unfamiliar","ax_cfd","ax","cfd",91,1200,0.0754444444444444,20
"116","unfamiliar","ax_cldw","ax","cldw",180,1200,0.150055555555556,20
"117","unfamiliar","ax_clw","ax","clw",271,1200,0.2255,20
"118","unfamiliar","ax_cnone","ax","cnone",270,1200,0.224666666666667,20
"119","unfamiliar","ax_cwd","ax","cwd",172,1200,0.142972222222222,20
"120","unfamiliar","ax_cww","ax","cww",315,1200,0.262597222222222,20
"121","unfamiliar","bdlx_cdw","bdlx","cdw",45,1200,0.0375138888888889,20
