"","new.dyad","dyad","bat1","bat2","duration","obs.time","assoc","period"
"1","familiar","add_addld","add","addld",0,960,1.73611111111111e-05,16
"2","familiar","add_addldd","add","addldd",310,960,0.323055555555556,16
"3","familiar","add_adld","add","adld",90,960,0.0937847222222222,16
"4","familiar","add_adldd","add","adldd",45,960,0.0468923611111111,16
"5","familiar","add_aldd","add","aldd",589,960,0.61328125,16
"6","familiar","add_ax","add","ax",526,960,0.547604166666667,16
"7","familiar","addld_addldd","addld","addldd",855,960,0.890972222222222,16
"8","familiar","addld_adld","addld","adld",135,960,0.140677083333333,16
"9","familiar","addld_adldd","addld","adldd",136,960,0.141197916666667,16
"10","familiar","addld_aldd","addld","aldd",765,960,0.7971875,16
"11","familiar","addld_ax","addld","ax",524,960,0.545538194444445,16
"12","familiar","addldd_adld","addldd","adld",45,960,0.0468923611111111,16
"13","familiar","addldd_adldd","addldd","adldd",90,960,0.0937847222222222,16
"14","familiar","addldd_aldd","addldd","aldd",900,960,0.937847222222222,16
"15","familiar","addldd_ax","addldd","ax",56,960,0.0578472222222222,16
"16","familiar","adld_adldd","adld","adldd",160,960,0.166753472222222,16
"17","familiar","adld_aldd","adld","aldd",193,960,0.200607638888889,16
"18","familiar","adld_ax","adld","ax",225,960,0.234461805555556,16
"19","familiar","adldd_aldd","adldd","aldd",225,960,0.234461805555556,16
"20","familiar","adldd_ax","adldd","ax",184,960,0.191753472222222,16
"21","familiar","aldd_ax","aldd","ax",630,960,0.656493055555556,16
"22","familiar","bdlx_blx","bdlx","blx",676,960,0.70390625,16
"23","familiar","bdlx_bs","bdlx","bs",91,960,0.0943055555555556,16
"24","familiar","bdlx_bxdlx","bdlx","bxdlx",45,960,0.0468923611111111,16
"25","familiar","bey_blx","bey","blx",45,960,0.0468923611111111,16
"26","familiar","bey_bs","bey","bs",450,960,0.468923611111111,16
"27","familiar","bey_bxdlx","bey","bxdlx",270,960,0.281354166666667,16
"28","familiar","bey_bxx","bey","bxx",630,960,0.656493055555556,16
"29","familiar","blx_bs","blx","bs",15,960,0.0151215277777778,16
"30","familiar","bs_bxdlx","bs","bxdlx",180,960,0.187569444444444,16
"31","familiar","bs_bxx","bs","bxx",360,960,0.375138888888889,16
"32","familiar","bxdlx_bxx","bxdlx","bxx",630,960,0.656493055555556,16
"33","familiar","cdw_cfd","cdw","cfd",225,960,0.234461805555556,16
"34","familiar","cdw_cldw","cdw","cldw",135,960,0.140677083333333,16
"35","familiar","cdw_clw","cdw","clw",315,960,0.328246527777778,16
