"X","term","Estimate","Est.Error","lower 95%","upper 95%","Rhat","Bulk Effective Sample Size","Tail Effective Sample Size","r_squared","r_squared_null","r_squared_diff","Hours sampled","allogrooming.sample","perc.increase"
1,"scalecontact",0.28,0.12,0.05,0.52,1.0004,14593.7967134095,13088.2743969394,0.437352421359033,0.408145556067288,0.0292068652917453,4,"all",32.3129812337437
2,"scalecontact",0.15,0.12,-0.09,0.4,1.0007,13477.2667424488,12889.3499601397,0.414186658011565,0.407710441715426,0.00647621629613893,8,"all",16.1834242728283
3,"scalecontact",0.09,0.13,-0.16,0.35,1.0002,11905.770513715,11904.7287131144,0.41768176226087,0.40815109219706,0.00953067006381014,12,"all",9.41742837052104
4,"scalecontact",0.08,0.12,-0.15,0.33,1.0008,13001.6348548847,12433.8829618627,0.41658153817717,0.407661445646561,0.00892009253060894,16,"all",8.32870676749586
5,"scalecontact",0.16,0.13,-0.08,0.41,1.0002,14956.600111826,13475.5172339265,0.421538621702729,0.40670759707596,0.0148310246267691,20,"all",17.351087099181
6,"scalecontact",0.2,0.13,-0.04,0.45,1.0003,14005.7679764328,12671.1675260077,0.424840538055774,0.40786028957562,0.0169802484801541,24,"all",22.140275816017
1,"scalecontact",0.22,0.18,-0.1,0.58,1.0002,13620.9985701438,11076.1756187867,0.460471873779231,0.439772681486203,0.020699192293028,4,"pre-treatment",24.6076730587381
2,"scalecontact",0.17,0.19,-0.18,0.55,1.0001,13672.6325165621,12156.0152066862,0.446702316771115,0.440488240786383,0.00621407598473234,8,"pre-treatment",18.5304851320365
3,"scalecontact",0.02,0.19,-0.35,0.41,1.0003,11392.5418107403,13548.51617973,0.448833506764289,0.439385189288389,0.00944831747589969,12,"pre-treatment",2.02013400267558
4,"scalecontact",-0.14,0.19,-0.51,0.25,1.0002,11877.1168555095,13060.211336642,0.4485063795217,0.440209923308342,0.00829645621335834,16,"pre-treatment",13.0641764601194
5,"scalecontact",-0.08,0.19,-0.46,0.31,1.0003,11996.6563032106,12721.1220905091,0.447395911952968,0.438946096095207,0.00844981585776056,20,"pre-treatment",7.68836536133642
6,"scalecontact",0,0.2,-0.38,0.39,0.9999,12146.9375017512,12560.9855533275,0.445770805662828,0.440166501822675,0.0056043038401532,24,"pre-treatment",0
