"","term","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","first_contact_period"
"1","Intercept",4.49295246626045,0.138944859487138,4.22026524337643,4.77261387667202,1.00059024819967,12336.3967694922,10689.4928276282,4
"2","unfamiliarity",-0.132652082173433,0.130172734932453,-0.390157013515671,0.118891013375093,1.00042201580729,26673.2817165302,14178.6162316678,4
"3","Intercept",5.16402529416154,0.164634372324601,4.82467014474483,5.47362156984892,1.00159477106167,6707.77892917891,5622.74262392557,8
"4","unfamiliarity",-0.422591656111092,0.160337577167635,-0.73799049493103,-0.106876268846796,1.00013177758345,16619.3571191997,12859.9571923199,8
"5","Intercept",5.50540211388833,0.127883707095034,5.2511592944748,5.75855366626517,1.00055475270621,13329.8937158914,9681.16014584267,12
"6","unfamiliarity",-0.500123425968494,0.138865952779375,-0.77024382145124,-0.225994076365244,1.00030046172164,21899.6852506948,13178.8444698963,12
"7","Intercept",5.76270599826258,0.137645156970293,5.49591663660589,6.03633970790143,1.00043525683004,12224.7755262284,11044.8559154567,16
"8","unfamiliarity",-0.534147668630279,0.149369861448515,-0.831699494002562,-0.242255806191122,1.00049674728685,18797.0955620672,13311.7415889797,16
"9","Intercept",5.82412613846749,0.142984346804646,5.5433902550192,6.10913334363774,1.00015674270161,12588.5443968367,10245.2735040623,20
"10","unfamiliarity",-0.660184139884335,0.143073260793485,-0.947716432701225,-0.37940754466447,1.00043733652997,18260.2247643877,13074.4388801815,20
"11","Intercept",5.87348354116615,0.146609201008903,5.58882850122732,6.17132120817582,1.00047927037486,13166.6870161629,11789.6480052477,24
"12","unfamiliarity",-0.652294446302477,0.135216634422622,-0.918051036953046,-0.385159215686928,1.00036128707109,24054.0807139788,13637.7688591978,24
